Jam,Line A_Good,Line A_Bad,Line B_Good,Line B_Bad,Line C_Good,Line C_Bad,Line D_Good,Line D_Bad
6,175,0,0,0,82,3,0,0
7,369,0,0,0,30,2,26,2
8,584,0,0,0,0,0,162,25
