Jam,Line A_Good,Line A_Bad,Line B_Good,Line B_Bad,Line C_Good,Line C_Bad,Line D_Good,Line D_Bad
9,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
